name	pastorName	vibe	denomination	address	street	city	state	zip	worship	preaching	men women college	married young adult	small groups	service times	day	attendance	serviceOpportunities	missionTrips	counseling	pastorBio	preferredContact	contactType
All Saints Presbyterian Church	Tim Frickenschmidt	Mix	Presbyterian	7808 Rialto Blvd, Austin, TX 78735	7808 Rialto Blvd	Austin	TX	78735	Traditional	Verse-By-Verse	Yes	No	Yes	09:00, 10:15	Sunday	Medium	Y	N	N	Tim Frickenschmidt is the Senior Pastor of All Saints. Tim and his wife, Elissa, moved to Austin in June 2006. He was ordained and installed at All Saints as an Assistant Pastor in August 2006 and then later, in 2012, elected and installed as the church’s Senior Pastor. Originally from Enid, OK, Tim attended Oklahoma State University for his undergraduate degree. He and Elissa served with Campus Crusade at Auburn University before attending seminary at Covenant Theological Seminary in St. Louis. Tim and Elissa have three boys, Jake (sophomore at The University of Texas), Gage (high school senior), and Powell (8th grader). Having been Senior Pastor of All Saints throughout the process of planning and constructing the church campus, Tim has a great appreciation for the interplay between theology and architectural design, and the crucial connection between the two when planning any space, but particularly a worship space.	Office@allsaintsaustin.org	known
Antioch Austin Church	Jady Griffin	Modern	Non-Denominational	1201 Payton Gin Rd, Austin, TX 78758	1201 Payton Gin Rd	Austin	TX	78758	Modern	Verse-By-Verse, Theme-Based, Passage-Based	Yes	Yes	Yes	10:00	Sunday	Medium	Y	y	N	Jady and Liz Griffin planted Antioch Austin in October of 2016. After being transformed in college at Baylor University in the early 2000s the Griffins moved to plant Mosaic Community Church in Seattle, Washington. After establishing the church there they felt God call them to San Diego for a time and then back to Waco to continue working in the Antioch Movement before moving to start Antioch Austin.   The Griffins burn for the church to be alive in every sphere of Austin, Texas. Whether it's Liz as the Executive Director of UnBound Now Austin fighting human trafficking in the greater Austin area, Jady coaching at the local crossfit gym, or at their 4 kids sporting events, the Griffins live out their beliefs in every sphere of this city. 	college@antiochatx.com	known
Austin Bridge	Juhan Kim	Modern	Non-Denominational	11301 Domain Dr, Austin, TX 78758	11301 Domain Dr	Austin	TX	78758	Modern	Theme-Based	Yes	No	Yes	10:30	Sunday	Small	Y	N	N	Juhan Kim joined The Well as a Church Planting Resident in 2018 and he and his wife, Christine, launched Austin Bridge Church in the spring of 2022!	https://austinbridgechurch.com/get-connected	known
Austin Christian Fellowship	Will Davis, Jr.	Modern	Non-Denominational	6401 River Pl Blvd, Austin, TX 78730	6401 River Pl Blvd	Austin	TX	78730	Modern	Theme-Based	No	No	No	09:30, 11:15	Sunday	Small	y	N	N	Will Davis Jr. is the founding and senior pastor of Austin Christian Fellowship, a nondenominational church in Austin, Texas. He is the author of 10 books. An avid hiker, mountain-biker and water-skier, Davis and his wife, Susie, have three children and live in Austin, Texas.	srpastor@acfellowship.org	unknown
Austin Life Church	Cory Johnson	Modern	Baptist	12500 N Interstate Hwy 35, Austin, TX 78753	12500 N Interstate Hwy 35	Austin	TX	78753	Modern	Theme-Based, Passage-Based	yes	No	yes	10:30	Sunday	Small	y	N	N	Cory is the founding pastor of Austin Life Church. He is married to his best friend Stefani and has four children.	anna.scheffrahn@gmail.com	student
Austin Mustard Seed	April Karli	Modern	Baptist	4400 Maybelle Ave Austin 78756	4400 Maybelle Ave	Austin	TX	78756	Modern	Passage-Based	No	No	No	10:30	Sunday	Small	Y	N	N	Austin Mustard Seed practices team based leadership. We are co-pastored by April Karli and Shane Blackshear who share preaching and general oversight of the church. Our Pastor of Kids and Families is Erin Williams who organizes and nurtures our kids on Sundays at liturgy and helps facilitate the plans for the kids on House Church Sundays. She also serves to guide and direct the parents in the discipleship of their children at home. Next, the Leadership Team serves to discern and guide the direction of our community and to provide oversight and support for team leaders and pastors. Finally the Stewardship Team oversees the finances of our community and helps to advise the Leadership Team and staff regarding the financial health of our community. Each member of our staff and the teams practice mutual submission to one another, respecting each other, and with the understanding that we will not always agree but we will also disagree without disengaging. 	info@austinmustardseed.org	known
Austin Oaks Church	Brandon Zieske	Modern	Evangelical Free Church of America 	4220 Monterey Oaks Blvd, Austin, TX 78749	4220 Monterey Oaks Blvd	Austin	TX	78749	Modern	Theme-Based, Passage-Based	yes	No	yes	10:30	Sunday	Small	y	y	y	Brandon received his Masters of Divinity with an emphasis in Leadership Transformation in 2013 from Bethel Seminary in St. Paul, MN. He also holds a Bachelor of Arts degree in Communication Studies from Winona State University. He served as the Senior Pastor of Pleasant Valley Evangelical Free Church of Winona, MN. During his years there, under Brandon’s leadership, his 122 year-old, multi-generational church transitioned from a congregation in decline to one that now attracts a 1,000 people, in a community of 30,000.	bj.forguson@austinoakschurch.org	known
Austin Ridge Bible Church - Bee Cave	Brad Thomas	Modern	Non-Denominational	9300 Bee Caves Rd, Austin, TX 78733	9300 Bee Caves Rd	Austin	TX	78733	Modern	Verse-By-Verse	Yes	No	No	09:00, 11:00	Sunday	Very Large	Y	Y	Y	Brad was born and raised in South Carolina. He attended Clemson University, where he graduated with a BS in Economics and then received his THM from Dallas Theological Seminary. He is married to Courtney, a Texas girl, and they have two young adult children, Lydia and Luke. They enjoy teaching the Bible, watching movies, being outside, and spending time together. As a father to Luke who has special needs, Brad has a compassionate understanding of others' circumstances. He has a great sense of humor, loves his Clemson Tigers, and enjoys sharing stories from his youth and family. As lead pastor of Austin Ridge since 2004, Brad focuses on teaching God's Word, setting the spiritual pace, and discerning God's vision and will for Austin Ridge.	https://austinridge.ccbchurch.com/goto/forms/1154/responses/new	known
Seventh-Day Adventist Church	Juan Robledo	Traditional	Seventh-Day Adventist	132 Eberhart Ln, Austin, TX 78745	132 Eberhart Ln	Austin	TX	78745	Traditional	Verse-By-Verse	No	No	yes	11:00	Saturday	Small	Y	N	N	Pr. Juan Robledo is passionate about community service and preaching the gospel message. He currently serves as a district pastor in the Central Texas Area of the Texas Conference of SDA.	tejeradanny@gmail.com	student
Bannockburn Church - South Austin	Ky Faciane	Modern	Baptist	7100 Brodie Ln, Austin, TX 78745	7100 Brodie Ln	Austin	TX	78745	Modern	Passage-Based	yes	No	yes	11:00	Sunday	Medium	y	y	N	As the Senior Pastor of Bannockburn, Ky provides teaching, leadership, and guidance for the church as a whole. Ky and his wife Christy came to Bannockburn in 2015. Ky is originally from Pensacola, FL. He played baseball through college where he met Christy. He and Christy have three children, Laura Leigh, Lilibeth and William.	kyf@bbcfamily.com	unknown
Celebration Church - Central Austin	Joe and Lori Champion	Modern	Non-Denominational	1006 W Koenig Ln, Austin, TX 78756	1006 W Koenig Ln	Austin	TX	78749	Modern	Theme-Based	yes	No	yes	09:00, 11:00	Sunday	Large	y	y	N	Pastor Joe is a globally recognized leader and speaker who serves on the boards of One Hope and Oral Roberts University. He is also part of the Lead Team of the Association of Related Churches (ARC), an international church planting organization. By example, Pastor Joe equips and empowers ministry leaders to take hold of God’s calling on their lives with an emphasis on the importance of maintaining Christ-like integrity and character. Pastor Lori has a heart to see God’s house and His people grow and flourish. In addition to leading Celebration as Co-Pastor, she travels and speaks internationally. With a rich ministry heritage and a personal depth in Christ, Pastor Lori boldly inspires and equips leaders to run in their God-given callings. 	info@celebration.church	unknown
Christ Church of Austin	Cliff Warner	Mix	Anglican	112 Medina Street Austin, TX 78702	112 Medina Street	Austin	TX	78756	Modern	Verse-By-Verse	yes	No	yes	09:00, 11:00	Sunday	Small	y	y	y	Cliff has been Rector of Christ Church since moving to Austin in 2006 with his wife, Christine, and four children. Before coming to Austin, he was Pastor of Community and Mission and founder of Ciudad Nueva Community Outreach, an urban mission in downtown El Paso, TX. Before serving on the U.S.-Mexico border, Cliff completed theological studies at Regent College, served migrant farmers and prison inmates, and worked in a church small group ministry and on staff with InterVarsity Christian Fellowship at the University of Texas.	joelx123@gmail.com	student
Covenant Presbyterian Church 	Thomas Daniel	Mix	Presbyterian	3003 Northland Dr, Austin, TX 78757	3003 Northland Dr	Austin	TX	78757	Mix	Verse-By-Verse, Passage-Based	Yes	No	Yes	08:15, 09:30, 11:00	Sunday	Medium	Y	Y	N	Thomas has served as Covenant Presbyterian’s senior pastor since 2014.  Born and raised in Atlanta, GA, Thomas graduated from Davidson College in North Carolina and then spent two years teaching English in Japan, where he met his wife, Beth.  Thomas attended Columbia Theological Seminary, earning a Masters of Divinity in 2003 and a Doctor of Ministry in 2011.  While in seminary, he serve as the director of college ministry at North Avenue Presbyterian Church and went on to become the congregation’s associate pastor of evangelism. He has also served as co-pastor and head of staff at First Presbyterian Church in Evanston, IL, as well as organizing co-pastor of an Atlanta church plant called Kairos Church, which quickly grew from seven to more than 300 people.  Thomas enjoys jogging and walks with his family. When he’s kicking back, you’ll find him cheering on the Atlanta Falcons or watching Friday Night Lights, The Crown, or Stranger Things. Thomas and Beth have two daughters, Miriam Grace and Hannah Joy.	info@covenant.org	known
Eastside Community Church	Holland Greig	Modern	Non-Denominational	1190 Chicon St #2100, Austin, TX 78702	1190 Chicon St #2100	Austin	TX	78702	Modern	Verse-By-Verse, Theme-Based, Passage-Based	yes	No	Yes	11:00	Sunday	Small	y	N	N	Holland came to Christ when he was 19 years old during his sophomore year at Texas A&M, and sensed a call to ministry shortly after. So after graduation, Holland began serving with a ministry in Dallas, which is where he met his wife Jenny. They got married in 2012 and transitioned to life in Austin to help with a church plant called Wells Branch Community Church. After serving for several years in that church and graduating with a Master's degree from Redeemer Seminary, Holland was commissioned and sent out to plant Eastside Community Church, which opened in January 2017. Holland gladly serves as our church’s lead pastor, enjoying life in east Austin with his lovely wife Jenny, their two children Owen and Lizzie, and their dog Charlie.	info@eccatx.com	unknown
Gateway Church - North Austin	Carlos Ortiz	Modern	Non-Denominational	7104 McNeil Dr, Austin, TX 78729	7104 McNeil Dr	Austin	TX	78729	Modern	Theme-Based, Passage-Based	Yes	No	Yes	09:15, 11:15	Sunday	Medium	y	N	N	Carlos has vast experience leading large churches as an Executive Pastor and Teacher. Prior to Gateway, he was on the Leadership Team at Life Church, the largest church in the country. He led the entire staff as an Executive Pastor of Hope Fellowship Church, a 7000-person church in multiple campuses with a similar mission to Gateway.	alyssasaavedra17@gmail.com	student
Gracepoint Austin Church	Peter & Hope Choi	Modern	Baptist	2222 Rio Grande St #250, Austin, TX 78705	2222 Rio Grande St #250	Austin	TX	78705	Modern	Theme-Based, Passage-Based	Yes	No	Yes	13:00	Sunday	Small	Y	N	N	Peter and his wife Hope served at a church in Davis, CA and also oversaw international ministries at churches in Southern California before joining Gracepoint Austin in the past few years.	jeconiah21@gmail.com	student
Great Hills Baptist Church	Danny Forshee	Mix	Baptist	10500 Jollyville Rd, Austin, TX 78759	10500 Jollyville Rd	Austin	TX	78759	Mix	Verse-By-Verse, Passage-Based	yes	No	Yes	11:00	Sunday	Medium	y	N	N	Danny began serving as Lead Pastor of GHBC in June 2010. He and Ashley have 3 children and 3 grandchildren (soon to be 4!) Danny and Ashley met while they were students at the University of Mobile in Mobile, Alabama. Danny received his masters and doctoral degrees at Southwestern Baptist Theological Seminary in Fort Worth, TX. Danny is also the president of the Danny Forshee Evangelistic Association that he and Ashley began in 2004. Danny’s passion is sharing the gospel with those who do not know Christ and to preaching the Word of God to the Church. He enjoys running, golf, and reading biographies.	ccavazos@ghbc.org	known
Hill Country Bible Church - Lakeline	Tim Hawks	Mix	Non-Denominational	12124 Ranch Rd 620 N, Austin, TX 78750	12124 Ranch Rd 620 N	Austin	TX	78750	Modern	Theme-Based	Yes	Yes	Yes	09:00, 10:45	Sunday	Very Large	y	N	N	Tim Hawks has served as the Lead Pastor of Hill Country Bible Church Austin for over 30 years which, by God’s grace and faithful provision, has formed the Association of Hill Country Churches and planted 38 churches in the Greater Austin area. He has been instrumental in founding and shaping Christ Together - a citywide and nationwide cooperative movement of churches and kingdom leaders across denominations and throughout major cities – unifying the church to saturate their cities with the love of Jesus. Tim has also enjoyed training international church planters, serving on the Board of EastWest Ministries International, and collaborating with Exponential to develop multiplying churches. Tim and his wife Cindy have 5 adult children and 4 grandchildren. As a couple, they are personally committed to saturating Greater Austin with the love of Jesus - knowing and serving their neighbors and taking the time to build strong community and relationships through small groups and discipleship.	kinzingtonmcelvain@hcbc.com	known
